candidate_id,gender,ethnicity,age,education_level,years_experience,skills_score,interview_score,university_rank,employment_gap,hired
65,Male,African_American,30,PhD,7.8,65.6,59.2,2,0,0
66,Male,Caucasian,28,Bachelors,4.9,100.0,86.2,1,0,1
67,Male,Asian,22,Bachelors,2.8,63.1,88.0,2,0,0
68,Male,Caucasian,27,Bachelors,5.4,80.8,59.1,3,0,0
69,Male,Caucasian,29,Bachelors,7.1,55.0,78.9,1,0,1
70,Male,Caucasian,31,Bachelors,12.9,76.2,68.6,2,0,1
71,Male,Caucasian,35,Masters,11.3,70.8,67.5,2,0,0
72,Male,Caucasian,29,Masters,6.9,83.3,89.4,1,0,0
73,Female,Caucasian,29,Bachelors,10.0,76.3,95.2,2,0,0
74,Male,Caucasian,21,Masters,0.0,92.9,85.2,3,0,1
75,Male,Other,35,Masters,18.1,87.4,91.0,1,0,1
76,Male,Caucasian,26,Masters,4.5,73.6,58.4,1,0,0
77,Male,Caucasian,36,Bachelors,17.0,62.2,56.9,1,0,1
78,Male,Caucasian,40,Masters,21.0,63.7,47.8,2,0,1
79,Male,Caucasian,30,Masters,8.6,78.4,65.9,2,0,0
80,Female,Asian,24,Bachelors,1.9,64.8,71.4,3,1,0
81,Male,Caucasian,31,Masters,9.9,77.9,74.4,2,0,1
82,Male,Caucasian,33,Masters,13.6,67.5,86.9,3,0,0
83,Female,Caucasian,29,Bachelors,5.7,85.9,100.0,2,0,1
84,Male,Caucasian,27,Bachelors,3.2,55.4,57.8,2,0,0
85,Male,African_American,35,Bachelors,17.4,62.3,55.1,2,0,0
86,Male,Caucasian,34,Masters,11.3,60.5,76.2,1,0,1
87,Female,Hispanic,29,Bachelors,8.8,60.0,77.2,2,0,0
88,Male,Caucasian,21,Bachelors,0.0,90.7,84.2,1,0,0
89,Male,African_American,34,Bachelors,12.6,66.3,73.9,3,0,1
90,Male,Caucasian,26,Masters,8.3,75.8,77.3,2,0,0
91,Male,Caucasian,32,Masters,10.8,83.1,62.8,2,0,1
92,Female,Asian,32,Bachelors,10.2,58.3,46.4,1,0,0
93,Male,Caucasian,21,Bachelors,0.0,79.5,72.1,1,0,0
94,Male,Caucasian,32,Bachelors,9.8,77.8,69.4,3,0,1
95,Male,Other,34,Bachelors,11.5,55.3,62.7,3,0,0
96,Male,Caucasian,35,Masters,12.9,68.5,65.1,2,0,0
97,Male,Asian,32,Bachelors,14.8,74.6,49.6,1,0,0
98,Male,Asian,21,Masters,1.6,86.7,51.3,1,0,0
99,Male,Hispanic,39,Masters,17.2,86.7,85.5,3,0,0
100,Female,Hispanic,34,Masters,15.3,89.9,70.5,1,0,0
101,Female,Caucasian,23,Bachelors,0.0,73.5,66.6,2,1,0
102,Female,Caucasian,26,Bachelors,8.2,61.8,56.3,3,0,0
103,Male,Caucasian,33,Bachelors,15.0,73.7,58.6,3,0,0
104,Female,Asian,35,PhD,19.1,61.2,51.4,2,0,0
105,Female,Hispanic,28,Masters,9.3,57.4,72.8,3,1,0
106,Female,Caucasian,36,Masters,16.0,72.2,65.8,2,0,0
107,Male,Caucasian,21,Masters,3.0,80.1,80.7,2,0,0
108,Male,Caucasian,24,Bachelors,1.6,59.2,70.8,1,0,0
109,Male,Caucasian,21,Masters,0.0,88.6,81.5,3,1,0
110,Female,Hispanic,25,Masters,3.9,38.8,60.0,3,0,0
111,Male,Caucasian,41,Bachelors,23.1,71.6,68.6,3,0,0
112,Male,Asian,44,PhD,21.0,84.9,92.1,2,0,1
113,Male,Asian,33,Masters,9.8,77.9,81.7,3,0,0
114,Male,African_American,27,PhD,6.5,65.4,76.4,2,0,0
115,Male,Caucasian,30,Masters,10.7,100.0,72.7,2,0,0
116,Female,African_American,34,Bachelors,11.4,57.0,63.5,2,0,0
117,Female,Asian,21,Bachelors,1.5,36.7,27.2,3,1,0
118,Female,Asian,27,Bachelors,9.1,68.6,83.5,2,0,0
119,Male,Caucasian,40,Masters,21.8,51.4,49.8,2,0,1
120,Male,Caucasian,24,Bachelors,3.8,63.7,58.2,2,0,0
121,Male,Asian,26,Masters,4.8,78.1,55.5,3,0,0
122,Male,Caucasian,31,Bachelors,14.0,68.5,66.2,2,0,0
123,Male,Caucasian,33,Bachelors,12.0,82.0,70.9,2,0,0
124,Male,Caucasian,27,Bachelors,8.2,59.4,83.5,2,0,1
125,Male,Caucasian,32,Masters,15.5,85.7,86.4,2,0,0
126,Male,Caucasian,35,Bachelors,15.9,52.5,51.7,2,0,1
127,Male,Caucasian,44,Bachelors,20.7,91.6,59.4,2,0,0
128,Male,Caucasian,30,Bachelors,6.2,68.3,39.2,2,0,1
129,Male,African_American,31,Bachelors,9.3,89.9,66.1,2,0,0
130,Male,African_American,41,PhD,21.6,59.1,45.5,1,0,0
131,Male,Caucasian,27,Bachelors,7.0,99.5,87.9,1,0,0
132,Female,Caucasian,22,Bachelors,6.1,54.8,57.4,3,0,0
133,Male,Caucasian,33,Bachelors,13.0,51.2,57.4,3,0,0
134,Male,Caucasian,38,Bachelors,16.2,75.1,58.9,1,0,1
135,Male,Hispanic,33,Bachelors,9.4,86.0,78.1,3,0,0
136,Male,Caucasian,30,Bachelors,11.7,84.8,58.6,1,0,0
137,Female,Caucasian,22,Bachelors,1.0,82.3,73.2,3,0,0
138,Male,Caucasian,31,Bachelors,6.5,85.0,85.7,3,0,0
139,Female,Caucasian,39,Bachelors,18.1,56.5,55.7,2,0,0
140,Male,Hispanic,23,Masters,0.0,80.0,78.3,3,0,0
141,Male,Asian,29,Bachelors,7.0,71.2,44.4,2,0,1
142,Male,Caucasian,28,Masters,7.0,65.3,40.2,1,0,0
143,Female,Caucasian,26,Masters,2.9,69.5,71.2,3,0,0
144,Male,African_American,33,Masters,10.9,69.3,79.7,1,0,0
145,Male,Caucasian,34,Bachelors,11.3,92.9,77.2,1,0,1
146,Male,Hispanic,34,Masters,11.4,63.3,89.6,1,0,1
147,Male,Hispanic,25,Masters,1.7,62.7,46.2,2,0,0
148,Male,Caucasian,21,PhD,0.0,65.4,56.8,2,1,1
149,Male,Hispanic,33,Masters,9.9,94.7,82.8,3,0,0
150,Male,Caucasian,28,Bachelors,8.3,66.1,70.9,3,0,1
151,Female,Asian,43,PhD,22.5,79.6,65.8,3,0,0
152,Female,Caucasian,43,Masters,24.7,53.8,45.9,3,1,0
153,Male,Caucasian,44,Bachelors,27.3,81.1,81.0,3,1,0
154,Male,Caucasian,25,Bachelors,5.6,77.9,73.4,1,1,0
155,Male,Caucasian,35,PhD,15.0,90.5,74.6,2,0,1
156,Female,Caucasian,37,Bachelors,17.7,81.3,79.7,1,1,0
157,Male,Caucasian,36,Masters,16.1,75.6,68.9,1,0,1
158,Male,Caucasian,29,Bachelors,8.1,67.5,64.4,1,0,0
159,Female,Caucasian,39,Masters,17.9,88.3,75.4,1,0,0
160,Female,Caucasian,31,Bachelors,7.7,58.9,51.5,3,0,0
161,Male,Other,32,Masters,12.9,40.5,40.2,2,0,0
162,Female,African_American,21,Bachelors,0.0,38.5,43.9,3,0,0
163,Male,Caucasian,35,PhD,17.3,53.5,58.8,2,0,0
164,Male,Caucasian,29,Bachelors,10.1,82.2,51.8,2,0,0
165,Male,Asian,34,Bachelors,11.6,98.8,94.7,2,0,1
166,Male,Asian,33,Bachelors,14.9,43.5,53.1,3,0,0
167,Female,Caucasian,32,Bachelors,5.1,57.0,47.6,1,0,0
168,Female,Asian,31,PhD,14.4,63.9,83.5,3,0,0
169,Male,Caucasian,36,Bachelors,11.9,94.6,81.5,3,0,0
170,Female,Caucasian,30,Bachelors,10.1,57.0,44.3,3,1,0
171,Male,Asian,22,Masters,2.0,77.7,90.6,3,1,0
172,Male,Asian,35,Bachelors,16.6,66.7,81.9,2,0,0
173,Male,Hispanic,26,Bachelors,4.2,100.0,73.1,2,0,0
174,Female,Caucasian,22,Masters,0.0,69.1,63.1,1,1,0
175,Male,Caucasian,24,Bachelors,2.2,79.1,67.0,1,0,1
176,Male,Caucasian,33,Masters,11.5,75.6,47.9,1,0,1
177,Male,Caucasian,30,Masters,4.3,69.1,70.9,2,0,0
178,Female,Caucasian,21,Bachelors,0.1,79.5,82.9,3,1,0
179,Female,Caucasian,29,Bachelors,5.5,52.1,65.5,3,0,0
180,Female,Caucasian,39,Masters,19.5,41.2,52.1,3,1,0
181,Female,Asian,28,Bachelors,6.4,60.7,73.7,3,1,0
182,Female,Caucasian,30,Masters,13.5,77.8,58.2,2,0,1
183,Male,Caucasian,38,Bachelors,16.4,66.9,87.6,2,0,0
184,Male,Asian,36,Bachelors,16.0,72.4,59.6,2,0,0
185,Female,Caucasian,38,Masters,16.5,51.3,49.3,2,0,0
186,Male,Hispanic,21,Bachelors,0.0,83.8,68.2,3,0,0
187,Male,Caucasian,42,Bachelors,20.5,83.0,66.9,1,0,0
188,Male,Caucasian,35,Bachelors,15.7,74.8,67.8,1,0,0
189,Female,Hispanic,47,Masters,27.4,64.9,61.9,1,1,0
190,Male,Caucasian,26,Masters,4.3,56.4,61.6,2,0,0
191,Female,Asian,21,Bachelors,0.0,45.2,44.0,2,1,0
192,Male,Asian,31,Bachelors,11.5,68.4,68.6,2,0,0
193,Male,Caucasian,29,PhD,9.0,81.2,60.6,1,0,1
194,Female,Asian,35,Bachelors,15.9,70.0,76.3,3,0,0
195,Male,Hispanic,38,Bachelors,16.4,65.3,73.6,3,1,0
196,Male,African_American,30,Bachelors,5.1,79.7,72.8,1,0,0
197,Male,Caucasian,29,Bachelors,9.2,93.0,72.4,2,0,1
198,Female,Caucasian,34,Bachelors,13.0,66.0,69.0,1,0,0
199,Male,Asian,29,Masters,11.2,74.0,59.0,1,0,1
200,Male,Caucasian,29,Masters,8.1,71.8,68.9,1,0,0
201,Female,Caucasian,38,Bachelors,16.9,65.6,63.3,2,0,0
202,Female,Caucasian,39,Bachelors,19.0,69.4,98.7,3,0,0
203,Male,Caucasian,38,Bachelors,15.6,96.6,67.4,2,0,0
204,Male,Caucasian,30,Bachelors,7.5,86.4,44.5,3,0,0
205,Male,Caucasian,21,Masters,0.0,85.2,68.2,1,0,0
206,Male,Caucasian,30,Bachelors,6.9,68.6,46.1,2,0,0
207,Male,Caucasian,26,Masters,4.5,62.8,54.8,2,0,1
208,Female,African_American,30,Bachelors,13.5,67.8,50.7,2,0,0
209,Male,Caucasian,27,Bachelors,8.4,90.7,68.0,2,0,0
210,Male,Caucasian,31,PhD,10.7,96.9,69.5,3,0,1
211,Female,Caucasian,24,Bachelors,6.6,35.3,60.0,3,1,0
212,Male,Caucasian,23,Bachelors,0.1,100.0,83.4,3,0,1
213,Male,African_American,39,Bachelors,23.7,75.4,83.4,1,0,0
214,Female,African_American,25,PhD,2.9,74.5,70.5,3,1,0
215,Female,Caucasian,31,Bachelors,14.6,44.6,64.7,3,1,0
216,Female,Caucasian,37,Bachelors,20.6,64.1,60.6,3,0,1
217,Male,Caucasian,37,Bachelors,12.0,85.2,95.0,1,0,0
218,Male,Caucasian,36,Bachelors,18.4,59.2,67.2,1,0,1
219,Female,Caucasian,33,Bachelors,11.3,29.7,36.0,1,0,0
220,Male,Caucasian,36,Bachelors,13.7,78.9,79.8,1,0,0
221,Male,Caucasian,40,Masters,20.2,73.9,70.0,3,1,1
222,Male,Caucasian,34,Masters,10.7,93.2,77.8,3,0,0
223,Male,Caucasian,21,Bachelors,1.2,72.4,70.0,3,0,0
224,Female,Caucasian,28,Bachelors,4.8,66.1,74.4,2,1,0
225,Male,Caucasian,36,Bachelors,15.4,83.6,49.6,2,0,0
226,Female,Caucasian,27,Bachelors,9.1,80.6,69.1,2,0,0
227,Male,Caucasian,42,Masters,21.9,65.3,73.1,2,0,1
228,Male,Caucasian,31,Bachelors,9.2,86.8,79.7,1,0,0
229,Male,Caucasian,32,Masters,12.2,67.7,52.7,3,0,0
230,Male,Caucasian,38,Bachelors,13.8,74.7,41.7,2,0,0
231,Male,Hispanic,30,Masters,7.1,78.7,92.7,3,0,1
232,Male,African_American,32,Masters,10.0,81.0,71.3,1,0,0
233,Female,Caucasian,37,Masters,17.8,71.3,86.4,2,0,0
234,Male,Caucasian,21,Masters,0.9,60.5,71.8,2,0,1
235,Female,Asian,29,Masters,9.2,38.4,40.6,3,0,0
236,Female,Asian,36,Bachelors,14.9,60.3,32.1,3,0,0
237,Male,Caucasian,31,Bachelors,8.2,87.1,71.4,1,0,1
238,Female,Caucasian,41,Bachelors,23.4,73.0,68.7,1,1,0
239,Male,Caucasian,21,Masters,0.0,77.6,77.1,3,0,0
240,Male,Caucasian,21,Bachelors,1.0,74.4,56.6,2,0,0
241,Female,Caucasian,36,PhD,14.7,71.2,70.3,2,0,0
242,Female,Caucasian,37,Bachelors,17.3,54.3,61.0,3,0,0
243,Male,Caucasian,30,Masters,7.6,84.6,87.4,2,0,1
244,Male,Caucasian,34,Bachelors,15.4,85.5,72.3,2,0,0
245,Male,Caucasian,36,PhD,18.2,69.9,72.8,1,1,0
246,Female,Asian,26,Bachelors,7.3,68.4,70.1,3,0,0
247,Male,Caucasian,26,Bachelors,5.4,52.2,68.2,2,0,1
248,Male,Caucasian,32,Masters,10.0,76.8,61.4,2,0,1
249,Male,Caucasian,37,Bachelors,22.5,72.8,32.2,2,0,0
250,Male,Hispanic,23,Bachelors,0.0,86.4,73.7,1,0,0
251,Male,Caucasian,30,Masters,11.0,71.9,65.8,1,0,0
252,Female,Caucasian,29,Masters,8.8,78.5,58.3,2,0,0
253,Male,Caucasian,34,Bachelors,12.9,69.4,49.1,2,0,0
254,Male,Hispanic,31,Bachelors,10.4,40.3,44.3,1,0,0
255,Male,Asian,27,Bachelors,4.8,67.1,64.5,3,0,0
256,Female,Hispanic,39,Bachelors,19.0,65.3,66.1,2,1,0
257,Female,Asian,27,Masters,6.7,64.7,37.2,3,0,0
258,Male,Caucasian,29,Bachelors,14.2,76.7,50.1,2,1,0
259,Male,Caucasian,21,Bachelors,2.5,67.9,79.9,2,0,1
260,Male,Caucasian,26,Bachelors,6.2,70.3,65.4,1,0,1
261,Male,Asian,34,Masters,14.3,55.4,59.4,1,0,0
262,Female,Caucasian,33,Bachelors,16.2,41.2,35.7,2,0,0
263,Male,Caucasian,35,Bachelors,11.8,73.1,69.2,1,1,0
264,Male,Hispanic,35,PhD,13.6,60.3,57.7,1,0,0
265,Female,Caucasian,45,Masters,19.6,81.2,66.2,2,0,0
266,Male,Caucasian,26,Bachelors,6.3,46.1,36.8,2,0,0
267,Male,Caucasian,21,PhD,2.0,78.3,61.6,1,0,1
268,Male,Hispanic,24,Bachelors,0.7,97.6,100.0,2,0,0
269,Male,African_American,26,Bachelors,8.3,67.6,62.0,1,0,0
270,Male,Caucasian,25,Bachelors,2.3,74.5,79.5,3,0,0
271,Male,African_American,32,Bachelors,10.2,75.5,68.2,2,0,0
272,Male,Hispanic,39,Masters,18.3,76.6,67.4,2,1,0
273,Male,Hispanic,41,Bachelors,23.7,64.7,57.0,2,0,0
274,Male,Hispanic,34,Masters,11.0,56.9,76.4,2,0,0
275,Female,Caucasian,45,Bachelors,24.7,75.7,75.1,2,0,0
276,Male,Asian,29,Bachelors,9.8,45.2,44.4,3,0,1
277,Male,Caucasian,21,Bachelors,1.3,85.3,71.2,1,0,0
278,Male,Asian,38,Bachelors,18.4,64.9,77.6,2,0,0
279,Female,Caucasian,21,PhD,1.8,67.2,31.9,3,1,0
280,Female,Asian,26,Masters,3.7,55.9,63.5,3,1,0
281,Male,African_American,34,Masters,16.9,88.6,84.2,2,0,0
282,Male,Caucasian,30,Masters,8.7,77.7,62.7,3,0,1
283,Male,Other,30,Bachelors,8.4,65.8,67.0,2,0,0
284,Male,Caucasian,23,Bachelors,5.1,70.0,73.5,1,0,1
285,Male,Caucasian,31,Bachelors,8.5,72.6,54.2,3,0,0
286,Male,Caucasian,38,Masters,17.7,100.0,94.1,1,1,0
287,Male,Hispanic,31,Bachelors,8.3,52.9,61.7,3,0,0
288,Male,Caucasian,26,Bachelors,10.8,88.6,75.9,1,0,0
289,Male,Caucasian,23,Masters,7.3,81.9,75.3,1,0,0
290,Male,Asian,26,Bachelors,4.7,90.0,87.0,2,0,1
291,Female,Caucasian,34,Bachelors,14.2,75.4,98.3,3,0,1
292,Male,Caucasian,33,Bachelors,12.0,74.5,77.3,1,0,0
293,Female,Hispanic,26,Bachelors,4.2,76.0,80.5,2,0,0
294,Male,Asian,21,Bachelors,0.3,73.0,71.5,2,0,0
295,Female,Asian,34,Masters,12.9,72.5,91.7,2,0,0
296,Female,Caucasian,25,Masters,0.5,85.8,58.6,1,0,0
297,Female,Other,35,Bachelors,14.6,63.9,43.3,3,0,1
298,Female,Caucasian,26,Masters,4.9,61.7,64.8,3,0,0
299,Female,Caucasian,25,Masters,4.7,58.8,69.3,2,0,0
300,Male,Caucasian,32,Masters,10.8,80.4,42.3,1,0,0
301,Female,Caucasian,46,PhD,24.2,55.8,59.6,1,0,0
302,Male,Asian,36,Masters,17.0,65.5,62.9,2,0,0
303,Male,Asian,32,Bachelors,12.2,57.4,69.5,2,0,1
304,Male,Caucasian,33,Bachelors,15.2,81.1,78.7,3,0,0
305,Female,Caucasian,21,Bachelors,1.1,57.4,38.9,2,0,0
306,Male,Asian,24,Bachelors,2.5,53.3,45.4,2,0,0
307,Male,Other,21,PhD,1.4,55.6,49.9,2,0,0
308,Male,Caucasian,42,Masters,16.4,67.1,74.8,1,0,1
309,Male,Caucasian,41,Bachelors,24.8,68.3,71.1,2,0,0
310,Male,Caucasian,34,PhD,13.6,77.8,64.3,2,0,1
311,Male,Caucasian,32,Masters,16.0,72.4,70.6,1,0,1
312,Male,Caucasian,21,Bachelors,0.0,79.3,59.9,3,0,0
313,Male,Caucasian,30,PhD,6.4,80.4,97.8,1,0,0
314,Male,Asian,43,Bachelors,22.8,79.6,79.7,1,0,0
315,Male,Caucasian,32,Bachelors,11.8,49.7,65.8,2,0,1
316,Male,Caucasian,27,Bachelors,6.8,59.8,78.4,2,0,1
317,Male,Caucasian,21,PhD,0.4,81.7,86.1,1,0,1
318,Female,African_American,40,Bachelors,17.6,65.4,65.3,2,1,0
319,Male,Caucasian,31,Bachelors,6.6,87.2,74.7,3,0,0
320,Female,Caucasian,21,Masters,0.7,47.1,70.4,3,0,0
321,Female,Caucasian,25,Masters,1.1,61.0,62.9,2,0,0
322,Male,Asian,23,Bachelors,0.0,66.1,56.4,2,0,1
323,Male,Hispanic,30,Bachelors,8.1,72.2,92.3,2,0,0
324,Male,Caucasian,32,PhD,12.0,75.0,59.0,2,0,0
325,Female,Caucasian,28,Masters,11.6,73.3,48.5,1,0,0
326,Male,Caucasian,36,Bachelors,17.3,73.0,81.1,1,0,0
327,Female,Asian,32,Bachelors,14.3,80.5,64.5,3,0,0
328,Male,African_American,38,Bachelors,18.5,92.0,84.8,3,0,1
329,Male,Caucasian,29,Masters,8.8,60.0,83.8,2,0,0
330,Male,Caucasian,51,Bachelors,30.0,75.1,53.8,2,1,0
331,Female,Asian,27,Masters,3.0,73.1,68.7,3,0,0
332,Male,Asian,25,Bachelors,3.0,77.6,89.5,2,0,0
333,Female,Caucasian,24,Masters,2.2,61.9,71.2,3,0,0
334,Female,Caucasian,30,Bachelors,11.1,70.5,65.6,3,0,0
335,Male,Caucasian,21,Masters,0.0,53.9,87.3,3,0,1
336,Male,Asian,33,Bachelors,13.8,69.8,66.2,3,0,0
337,Male,Asian,21,Bachelors,1.3,51.0,61.8,3,0,0
338,Female,Asian,32,Bachelors,12.9,69.3,86.9,2,1,0
339,Male,Hispanic,22,Bachelors,2.8,55.5,71.3,2,0,0
340,Female,Caucasian,29,Bachelors,11.5,69.3,83.0,2,0,0
341,Male,Caucasian,35,Masters,13.9,78.6,61.4,2,1,1
342,Female,Caucasian,46,Masters,26.2,68.2,81.2,3,0,0
343,Female,Hispanic,24,Bachelors,1.3,54.5,61.0,2,0,0
344,Male,Caucasian,30,Bachelors,6.8,71.8,59.5,1,0,0
345,Female,Caucasian,26,Bachelors,9.1,82.6,77.1,2,0,0
346,Female,Caucasian,25,Masters,2.1,61.7,65.2,1,1,0
347,Female,Asian,26,Bachelors,6.5,63.0,86.1,2,1,0
348,Male,Asian,36,Bachelors,16.2,62.8,68.1,1,0,0
349,Male,Asian,28,Bachelors,9.7,83.3,65.4,1,1,1
350,Male,Caucasian,46,Bachelors,21.2,75.5,58.4,2,0,0
351,Male,African_American,34,Bachelors,15.0,60.1,61.5,2,0,0
352,Male,Asian,24,Bachelors,2.9,70.1,51.4,2,0,0
353,Male,Asian,29,Bachelors,6.6,66.9,57.2,1,0,0
354,Male,Asian,26,Masters,4.4,88.1,74.5,3,0,0
355,Male,Hispanic,36,Bachelors,17.4,69.4,62.1,1,0,0
356,Male,African_American,21,Masters,1.7,52.0,66.3,2,0,0
357,Female,Caucasian,22,Bachelors,0.7,73.7,60.7,3,0,0
358,Female,Caucasian,27,Masters,3.4,90.4,49.1,3,1,0
359,Male,Caucasian,35,Masters,11.5,90.1,58.3,2,0,1
360,Male,Hispanic,39,Bachelors,19.7,55.7,59.4,2,0,0
361,Female,Asian,40,Masters,16.1,59.2,54.5,3,1,0
362,Male,Caucasian,34,Bachelors,12.7,74.1,54.9,2,0,1
363,Male,Caucasian,30,Bachelors,15.2,74.3,93.4,2,0,1
364,Male,Hispanic,36,Masters,16.1,75.0,80.2,2,1,0
365,Male,Hispanic,24,Masters,4.7,65.5,64.3,3,0,0
366,Male,African_American,21,Bachelors,0.0,58.1,63.8,3,0,0
367,Female,Caucasian,34,Bachelors,10.2,79.6,69.6,3,1,0
368,Female,Hispanic,24,Bachelors,4.8,48.1,40.4,3,0,0
369,Male,Hispanic,31,Bachelors,9.4,59.6,74.1,2,0,0
370,Female,Caucasian,32,PhD,13.7,52.5,68.1,2,1,0
371,Female,Caucasian,33,Bachelors,12.3,75.2,46.6,2,0,0
372,Male,Other,37,PhD,24.2,71.4,71.0,2,0,0
373,Male,Caucasian,36,Bachelors,13.9,86.0,80.3,2,1,1
374,Male,Caucasian,32,Masters,11.9,64.3,60.5,1,0,0
375,Male,Asian,28,PhD,5.2,53.7,83.7,2,0,1
376,Male,Asian,32,Masters,13.6,64.2,88.2,1,0,1
377,Female,Caucasian,27,Bachelors,7.2,64.8,60.1,3,1,0
378,Male,Asian,30,Bachelors,7.0,72.7,66.3,3,0,0
379,Male,Caucasian,48,Bachelors,26.5,52.6,53.8,1,0,1
380,Female,Hispanic,32,Masters,14.4,68.9,59.6,3,0,0
381,Male,Caucasian,34,PhD,16.1,62.9,52.5,1,0,1
382,Female,Asian,26,Bachelors,2.0,54.3,64.9,3,0,0
383,Female,Hispanic,38,Bachelors,16.2,78.0,95.4,3,1,0
384,Male,Caucasian,36,Bachelors,19.4,46.1,73.0,1,0,1
385,Male,Caucasian,36,Bachelors,14.8,78.7,81.8,1,0,1
386,Female,Asian,32,Bachelors,11.7,66.8,36.9,3,0,0
387,Female,Caucasian,38,Bachelors,19.6,56.6,37.8,1,0,0
388,Female,Caucasian,39,Masters,15.2,61.4,75.5,2,0,0
389,Male,Caucasian,33,Bachelors,10.1,90.4,98.2,2,0,0
